Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M4/2694A,01/01/2023 00:00:00,00:14:00,0,36,2,4,3,,,,,,,,,,,,,,,63,45
M4/2694A,01/01/2023 00:00:00,00:29:00,1,44,3,1,2,,,,,,,,,,,,,,,63,50
M4/2694A,01/01/2023 00:00:00,00:44:00,2,75,6,3,2,,,,,,,,,,,,,,,64,86
M4/2694A,01/01/2023 00:00:00,00:59:00,3,74,2,1,1,,,,,,,,,,,,,,,64,78
M4/2694A,01/01/2023 00:00:00,01:14:00,4,94,3,5,2,,,,,,,,,,,,,,,63,104
M4/2694A,01/01/2023 00:00:00,01:29:00,5,88,3,1,0,,,,,,,,,,,,,,,62,92
M4/2694A,01/01/2023 00:00:00,01:44:00,6,111,3,0,4,,,,,,,,,,,,,,,65,118
M4/2694A,01/01/2023 00:00:00,01:59:00,7,84,1,2,2,,,,,,,,,,,,,,,66,89
M4/2694A,01/01/2023 00:00:00,02:14:00,8,101,1,2,2,,,,,,,,,,,,,,,65,106
M4/2694A,01/01/2023 00:00:00,02:29:00,9,100,4,1,2,,,,,,,,,,,,,,,69,107
M4/2694A,01/01/2023 00:00:00,02:44:00,10,76,5,4,0,,,,,,,,,,,,,,,70,85
M4/2694A,01/01/2023 00:00:00,02:59:00,11,88,4,4,0,,,,,,,,,,,,,,,68,96
M4/2694A,01/01/2023 00:00:00,03:14:00,12,68,5,1,0,,,,,,,,,,,,,,,66,74
M4/2694A,01/01/2023 00:00:00,03:29:00,13,45,4,0,4,,,,,,,,,,,,,,,67,53
M4/2694A,01/01/2023 00:00:00,03:44:00,14,72,4,2,2,,,,,,,,,,,,,,,67,80
M4/2694A,01/01/2023 00:00:00,03:59:00,15,55,3,2,1,,,,,,,,,,,,,,,65,61
M4/2694A,01/01/2023 00:00:00,04:14:00,16,47,2,5,0,,,,,,,,,,,,,,,64,54
M4/2694A,01/01/2023 00:00:00,04:29:00,17,49,3,3,0,,,,,,,,,,,,,,,68,55
M4/2694A,01/01/2023 00:00:00,04:44:00,18,36,0,2,0,,,,,,,,,,,,,,,66,38
M4/2694A,01/01/2023 00:00:00,04:59:00,19,31,3,2,0,,,,,,,,,,,,,,,68,36
M4/2694A,01/01/2023 00:00:00,05:14:00,20,39,2,1,2,,,,,,,,,,,,,,,68,44
M4/2694A,01/01/2023 00:00:00,05:29:00,21,35,0,2,4,,,,,,,,,,,,,,,67,41
M4/2694A,01/01/2023 00:00:00,05:44:00,22,29,2,2,2,,,,,,,,,,,,,,,65,35
M4/2694A,01/01/2023 00:00:00,05:59:00,23,31,1,1,3,,,,,,,,,,,,,,,67,36
M4/2694A,01/01/2023 00:00:00,06:14:00,24,41,2,0,4,,,,,,,,,,,,,,,66,47
M4/2694A,01/01/2023 00:00:00,06:29:00,25,41,3,2,1,,,,,,,,,,,,,,,69,47
M4/2694A,01/01/2023 00:00:00,06:44:00,26,64,6,7,6,,,,,,,,,,,,,,,65,83
M4/2694A,01/01/2023 00:00:00,06:59:00,27,71,4,2,2,,,,,,,,,,,,,,,60,79
M4/2694A,01/01/2023 00:00:00,07:14:00,28,60,7,1,1,,,,,,,,,,,,,,,60,69
M4/2694A,01/01/2023 00:00:00,07:29:00,29,79,3,2,2,,,,,,,,,,,,,,,65,86
M4/2694A,01/01/2023 00:00:00,07:44:00,30,86,2,2,4,,,,,,,,,,,,,,,65,94
M4/2694A,01/01/2023 00:00:00,07:59:00,31,75,4,4,5,,,,,,,,,,,,,,,65,88
M4/2694A,01/01/2023 00:00:00,08:14:00,32,107,4,5,4,,,,,,,,,,,,,,,67,120
M4/2694A,01/01/2023 00:00:00,08:29:00,33,98,7,5,7,,,,,,,,,,,,,,,67,117
M4/2694A,01/01/2023 00:00:00,08:44:00,34,148,9,5,3,,,,,,,,,,,,,,,66,165
M4/2694A,01/01/2023 00:00:00,08:59:00,35,141,11,3,9,,,,,,,,,,,,,,,69,164
M4/2694A,01/01/2023 00:00:00,09:14:00,36,167,7,9,6,,,,,,,,,,,,,,,69,189
M4/2694A,01/01/2023 00:00:00,09:29:00,37,136,8,10,3,,,,,,,,,,,,,,,69,157
M4/2694A,01/01/2023 00:00:00,09:44:00,38,180,8,5,2,,,,,,,,,,,,,,,69,195
M4/2694A,01/01/2023 00:00:00,09:59:00,39,392,17,9,17,,,,,,,,,,,,,,,68,435
M4/2694A,01/01/2023 00:00:00,10:14:00,40,320,13,10,11,,,,,,,,,,,,,,,70,354
M4/2694A,01/01/2023 00:00:00,10:29:00,41,365,17,12,6,,,,,,,,,,,,,,,70,400
M4/2694A,01/01/2023 00:00:00,10:44:00,42,368,19,9,10,,,,,,,,,,,,,,,69,406
M4/2694A,01/01/2023 00:00:00,10:59:00,43,447,13,12,7,,,,,,,,,,,,,,,69,479
M4/2694A,01/01/2023 00:00:00,11:14:00,44,487,13,11,8,,,,,,,,,,,,,,,69,519
M4/2694A,01/01/2023 00:00:00,11:29:00,45,512,21,10,5,,,,,,,,,,,,,,,70,548
M4/2694A,01/01/2023 00:00:00,11:44:00,46,579,23,18,5,,,,,,,,,,,,,,,69,625
