Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M4/2694B,01/01/2023 00:00:00,00:14:00,0,28,1,0,0,,,,,,,,,,,,,,,65,29
M4/2694B,01/01/2023 00:00:00,00:29:00,1,45,0,1,1,,,,,,,,,,,,,,,64,47
M4/2694B,01/01/2023 00:00:00,00:44:00,2,87,6,5,6,,,,,,,,,,,,,,,66,104
M4/2694B,01/01/2023 00:00:00,00:59:00,3,130,25,40,22,,,,,,,,,,,,,,,64,217
M4/2694B,01/01/2023 00:00:00,01:14:00,4,122,15,28,20,,,,,,,,,,,,,,,64,185
M4/2694B,01/01/2023 00:00:00,01:29:00,5,85,15,26,53,,,,,,,,,,,,,,,64,179
M4/2694B,01/01/2023 00:00:00,01:44:00,6,80,12,13,7,,,,,,,,,,,,,,,64,112
M4/2694B,01/01/2023 00:00:00,01:59:00,7,97,15,12,15,,,,,,,,,,,,,,,63,139
M4/2694B,01/01/2023 00:00:00,02:14:00,8,71,10,18,11,,,,,,,,,,,,,,,62,110
M4/2694B,01/01/2023 00:00:00,02:29:00,9,40,0,9,27,,,,,,,,,,,,,,,63,76
M4/2694B,01/01/2023 00:00:00,02:44:00,10,32,3,4,16,,,,,,,,,,,,,,,62,55
M4/2694B,01/01/2023 00:00:00,02:59:00,11,35,4,2,3,,,,,,,,,,,,,,,60,44
M4/2694B,01/01/2023 00:00:00,03:14:00,12,48,3,0,1,,,,,,,,,,,,,,,62,52
M4/2694B,01/01/2023 00:00:00,03:29:00,13,53,1,0,1,,,,,,,,,,,,,,,63,55
M4/2694B,01/01/2023 00:00:00,03:44:00,14,52,0,4,2,,,,,,,,,,,,,,,63,58
M4/2694B,01/01/2023 00:00:00,03:59:00,15,29,1,2,2,,,,,,,,,,,,,,,61,34
M4/2694B,01/01/2023 00:00:00,04:14:00,16,30,0,1,2,,,,,,,,,,,,,,,62,33
M4/2694B,01/01/2023 00:00:00,04:29:00,17,53,4,3,4,,,,,,,,,,,,,,,62,64
M4/2694B,01/01/2023 00:00:00,04:44:00,18,34,0,2,2,,,,,,,,,,,,,,,62,38
M4/2694B,01/01/2023 00:00:00,04:59:00,19,44,0,2,6,,,,,,,,,,,,,,,63,52
M4/2694B,01/01/2023 00:00:00,05:14:00,20,45,0,1,5,,,,,,,,,,,,,,,63,51
M4/2694B,01/01/2023 00:00:00,05:29:00,21,42,0,2,4,,,,,,,,,,,,,,,66,48
M4/2694B,01/01/2023 00:00:00,05:44:00,22,50,2,0,4,,,,,,,,,,,,,,,68,56
M4/2694B,01/01/2023 00:00:00,05:59:00,23,64,0,0,3,,,,,,,,,,,,,,,67,67
M4/2694B,01/01/2023 00:00:00,06:14:00,24,56,0,2,4,,,,,,,,,,,,,,,65,62
M4/2694B,01/01/2023 00:00:00,06:29:00,25,75,0,2,1,,,,,,,,,,,,,,,63,78
M4/2694B,01/01/2023 00:00:00,06:44:00,26,87,3,13,6,,,,,,,,,,,,,,,64,109
M4/2694B,01/01/2023 00:00:00,06:59:00,27,78,3,1,5,,,,,,,,,,,,,,,64,87
M4/2694B,01/01/2023 00:00:00,07:14:00,28,90,2,2,5,,,,,,,,,,,,,,,63,99
M4/2694B,01/01/2023 00:00:00,07:29:00,29,71,1,2,2,,,,,,,,,,,,,,,64,76
M4/2694B,01/01/2023 00:00:00,07:44:00,30,75,3,10,6,,,,,,,,,,,,,,,64,94
M4/2694B,01/01/2023 00:00:00,07:59:00,31,83,6,12,13,,,,,,,,,,,,,,,64,114
M4/2694B,01/01/2023 00:00:00,08:14:00,32,110,0,1,8,,,,,,,,,,,,,,,64,119
M4/2694B,01/01/2023 00:00:00,08:29:00,33,147,1,2,12,,,,,,,,,,,,,,,65,162
M4/2694B,01/01/2023 00:00:00,08:44:00,34,135,1,6,4,,,,,,,,,,,,,,,66,146
M4/2694B,01/01/2023 00:00:00,08:59:00,35,149,2,6,11,,,,,,,,,,,,,,,66,168
M4/2694B,01/01/2023 00:00:00,09:14:00,36,166,0,0,4,,,,,,,,,,,,,,,65,170
M4/2694B,01/01/2023 00:00:00,09:29:00,37,230,4,5,6,,,,,,,,,,,,,,,65,245
M4/2694B,01/01/2023 00:00:00,09:44:00,38,248,1,2,7,,,,,,,,,,,,,,,66,258
M4/2694B,01/01/2023 00:00:00,09:59:00,39,286,8,11,4,,,,,,,,,,,,,,,63,309
M4/2694B,01/01/2023 00:00:00,10:14:00,40,335,2,11,11,,,,,,,,,,,,,,,64,359
M4/2694B,01/01/2023 00:00:00,10:29:00,41,399,6,6,9,,,,,,,,,,,,,,,64,420
M4/2694B,01/01/2023 00:00:00,10:44:00,42,311,8,18,36,,,,,,,,,,,,,,,67,373
M4/2694B,01/01/2023 00:00:00,10:59:00,43,233,10,15,46,,,,,,,,,,,,,,,66,304
M4/2694B,01/01/2023 00:00:00,11:14:00,44,327,12,21,35,,,,,,,,,,,,,,,70,395
M4/2694B,01/01/2023 00:00:00,11:29:00,45,564,6,10,6,,,,,,,,,,,,,,,67,586
M4/2694B,01/01/2023 00:00:00,11:44:00,46,600,9,8,5,,,,,,,,,,,,,,,66,622
M4/2694B,01/01/2023 00:00:00,11:59:00,47,619,5,9,13,,,,,,,,,,,,,,,67,646
M4/2694B,01/01/2023 00:00:00,12:14:00,48,657,9,11,6,,,,,,,,,,,,,,,67,683
M4/2694B,01/01/2023 00:00:00,12:29:00,49,728,12,11,7,,,,,,,,,,,,,,,67,758
