Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M4/2694A,27/01/2021 00:00:00,00:14:59,0,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,00:29:59,1,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,00:44:59,2,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,00:59:59,3,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,01:14:59,4,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,01:29:59,5,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,01:44:59,6,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,01:59:59,7,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,02:14:59,8,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,02:29:59,9,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,02:44:59,10,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,02:59:59,11,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,03:14:59,12,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,03:29:59,13,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,03:44:59,14,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,03:59:59,15,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,04:14:59,16,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,04:29:59,17,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,04:44:59,18,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,04:59:59,19,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,05:14:59,20,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,05:29:59,21,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,05:44:59,22,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,05:59:59,23,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,06:14:59,24,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,06:29:59,25,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,06:44:59,26,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,06:59:59,27,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,07:14:59,28,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,07:29:59,29,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,07:44:59,30,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,07:59:59,31,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,08:14:59,32,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,08:29:59,33,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,08:44:59,34,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,08:59:59,35,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,09:14:59,36,,,,,,,,,,,,,,,,,,,,
M4/2694A,27/01/2021 00:00:00,09:29:59,37,,,,,,,,,,,,,,,,,,,,
