Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M4/2694B,01/01/2022 00:00:00,00:14:00,0,21,1,0,1,,,,,,,,,,,,,,,65,23
M4/2694B,01/01/2022 00:00:00,00:29:00,1,31,0,1,2,,,,,,,,,,,,,,,62,34
M4/2694B,01/01/2022 00:00:00,00:44:00,2,51,0,1,4,,,,,,,,,,,,,,,64,56
M4/2694B,01/01/2022 00:00:00,00:59:00,3,57,0,1,0,,,,,,,,,,,,,,,63,58
M4/2694B,01/01/2022 00:00:00,01:14:00,4,69,0,0,0,,,,,,,,,,,,,,,64,69
M4/2694B,01/01/2022 00:00:00,01:29:00,5,65,0,0,1,,,,,,,,,,,,,,,64,66
M4/2694B,01/01/2022 00:00:00,01:44:00,6,58,1,0,0,,,,,,,,,,,,,,,63,59
M4/2694B,01/01/2022 00:00:00,01:59:00,7,52,0,0,0,,,,,,,,,,,,,,,62,52
M4/2694B,01/01/2022 00:00:00,02:14:00,8,47,0,0,1,,,,,,,,,,,,,,,62,48
M4/2694B,01/01/2022 00:00:00,02:29:00,9,36,0,0,0,,,,,,,,,,,,,,,61,36
M4/2694B,01/01/2022 00:00:00,02:44:00,10,41,0,3,1,,,,,,,,,,,,,,,61,45
M4/2694B,01/01/2022 00:00:00,02:59:00,11,23,0,0,2,,,,,,,,,,,,,,,62,25
M4/2694B,01/01/2022 00:00:00,03:14:00,12,25,2,0,0,,,,,,,,,,,,,,,63,27
M4/2694B,01/01/2022 00:00:00,03:29:00,13,25,0,1,0,,,,,,,,,,,,,,,62,26
M4/2694B,01/01/2022 00:00:00,03:44:00,14,29,0,1,1,,,,,,,,,,,,,,,62,31
M4/2694B,01/01/2022 00:00:00,03:59:00,15,39,0,2,0,,,,,,,,,,,,,,,62,41
M4/2694B,01/01/2022 00:00:00,04:14:00,16,30,0,1,3,,,,,,,,,,,,,,,62,34
M4/2694B,01/01/2022 00:00:00,04:29:00,17,27,0,0,6,,,,,,,,,,,,,,,61,33
M4/2694B,01/01/2022 00:00:00,04:44:00,18,28,0,1,2,,,,,,,,,,,,,,,64,31
M4/2694B,01/01/2022 00:00:00,04:59:00,19,28,0,1,3,,,,,,,,,,,,,,,62,32
M4/2694B,01/01/2022 00:00:00,05:14:00,20,31,1,4,2,,,,,,,,,,,,,,,61,38
M4/2694B,01/01/2022 00:00:00,05:29:00,21,30,1,1,2,,,,,,,,,,,,,,,61,34
M4/2694B,01/01/2022 00:00:00,05:44:00,22,41,0,0,7,,,,,,,,,,,,,,,62,48
M4/2694B,01/01/2022 00:00:00,05:59:00,23,44,0,0,4,,,,,,,,,,,,,,,62,48
M4/2694B,01/01/2022 00:00:00,06:14:00,24,45,0,0,1,,,,,,,,,,,,,,,61,46
M4/2694B,01/01/2022 00:00:00,06:29:00,25,52,1,2,1,,,,,,,,,,,,,,,61,56
M4/2694B,01/01/2022 00:00:00,06:44:00,26,58,0,5,2,,,,,,,,,,,,,,,62,65
M4/2694B,01/01/2022 00:00:00,06:59:00,27,70,1,2,5,,,,,,,,,,,,,,,62,78
M4/2694B,01/01/2022 00:00:00,07:14:00,28,73,1,2,5,,,,,,,,,,,,,,,63,81
M4/2694B,01/01/2022 00:00:00,07:29:00,29,80,1,4,3,,,,,,,,,,,,,,,62,88
M4/2694B,01/01/2022 00:00:00,07:44:00,30,75,0,3,3,,,,,,,,,,,,,,,61,81
M4/2694B,01/01/2022 00:00:00,07:59:00,31,86,0,2,1,,,,,,,,,,,,,,,61,89
M4/2694B,01/01/2022 00:00:00,08:14:00,32,75,1,5,5,,,,,,,,,,,,,,,61,86
M4/2694B,01/01/2022 00:00:00,08:29:00,33,119,1,2,3,,,,,,,,,,,,,,,62,125
M4/2694B,01/01/2022 00:00:00,08:44:00,34,130,1,2,7,,,,,,,,,,,,,,,64,140
M4/2694B,01/01/2022 00:00:00,08:59:00,35,159,0,1,11,,,,,,,,,,,,,,,64,171
M4/2694B,01/01/2022 00:00:00,09:14:00,36,152,0,2,6,,,,,,,,,,,,,,,64,160
M4/2694B,01/01/2022 00:00:00,09:29:00,37,189,3,3,4,,,,,,,,,,,,,,,66,199
M4/2694B,01/01/2022 00:00:00,09:44:00,38,220,0,2,5,,,,,,,,,,,,,,,66,227
M4/2694B,01/01/2022 00:00:00,09:59:00,39,242,0,4,9,,,,,,,,,,,,,,,67,255
M4/2694B,01/01/2022 00:00:00,10:14:00,40,259,1,1,6,,,,,,,,,,,,,,,66,267
M4/2694B,01/01/2022 00:00:00,10:29:00,41,275,2,6,8,,,,,,,,,,,,,,,67,291
M4/2694B,01/01/2022 00:00:00,10:44:00,42,345,2,3,9,,,,,,,,,,,,,,,68,359
M4/2694B,01/01/2022 00:00:00,10:59:00,43,383,1,8,11,,,,,,,,,,,,,,,69,403
M4/2694B,01/01/2022 00:00:00,11:14:00,44,422,5,11,6,,,,,,,,,,,,,,,68,444
M4/2694B,01/01/2022 00:00:00,11:29:00,45,475,2,4,2,,,,,,,,,,,,,,,67,483
M4/2694B,01/01/2022 00:00:00,11:44:00,46,491,4,7,6,,,,,,,,,,,,,,,69,508
M4/2694B,01/01/2022 00:00:00,11:59:00,47,572,1,5,12,,,,,,,,,,,,,,,68,590
M4/2694B,01/01/2022 00:00:00,12:14:00,48,619,4,6,10,,,,,,,,,,,,,,,68,639
M4/2694B,01/01/2022 00:00:00,12:29:00,49,560,4,9,15,,,,,,,,,,,,,,,67,588
M4/2694B,01/01/2022 00:00:00,12:44:00,50,634,5,11,5,,,,,,,,,,,,,,,67,655
M4/2694B,01/01/2022 00:00:00,12:59:00,51,618,10,12,9,,,,,,,,,,,,,,,67,649
M4/2694B,01/01/2022 00:00:00,13:14:00,52,607,5,10,6,,,,,,,,,,,,,,,67,628
M4/2694B,01/01/2022 00:00:00,13:29:00,53,582,4,7,5,,,,,,,,,,,,,,,66,598
M4/2694B,01/01/2022 00:00:00,13:44:00,54,638,3,5,9,,,,,,,,,,,,,,,65,655
M4/2694B,01/01/2022 00:00:00,13:59:00,55,587,5,16,10,,,,,,,,,,,,,,,67,618
M4/2694B,01/01/2022 00:00:00,14:14:00,56,622,7,14,10,,,,,,,,,,,,,,,67,653
M4/2694B,01/01/2022 00:00:00,14:29:00,57,600,12,17,15,,,,,,,,,,,,,,,65,644
M4/2694B,01/01/2022 00:00:00,14:44:00,58,625,7,16,10,,,,,,,,,,,,,,,67,658
M4/2694B,01/01/2022 00:00:00,14:59:00,59,586,10,21,14,,,,,,,,,,,,,,,65,631
M4/2694B,01/01/2022 00:00:00,15:14:00,60,569,24,19,9,,,,,,,,,,,,,,,65,621
M4/2694B,01/01/2022 00:00:00,15:29:00,61,567,14,22,19,,,,,,,,,,,,,,,39,622
M4/2694B,01/01/2022 00:00:00,15:44:00,62,668,10,18,12,,,,,,,,,,,,,,,38,708
M4/2694B,01/01/2022 00:00:00,15:59:00,63,631,14,12,12,,,,,,,,,,,,,,,66,669
M4/2694B,01/01/2022 00:00:00,16:14:00,64,601,3,15,8,,,,,,,,,,,,,,,67,627
M4/2694B,01/01/2022 00:00:00,16:29:00,65,601,5,3,8,,,,,,,,,,,,,,,66,617
M4/2694B,01/01/2022 00:00:00,16:44:00,66,645,1,12,12,,,,,,,,,,,,,,,66,670
M4/2694B,01/01/2022 00:00:00,16:59:00,67,573,5,10,5,,,,,,,,,,,,,,,61,593
M4/2694B,01/01/2022 00:00:00,17:14:00,68,598,5,4,6,,,,,,,,,,,,,,,67,613
M4/2694B,01/01/2022 00:00:00,17:29:00,69,565,8,10,1,,,,,,,,,,,,,,,66,584
M4/2694B,01/01/2022 00:00:00,17:44:00,70,522,1,3,7,,,,,,,,,,,,,,,67,533
M4/2694B,01/01/2022 00:00:00,17:59:00,71,500,4,4,5,,,,,,,,,,,,,,,68,513
M4/2694B,01/01/2022 00:00:00,18:14:00,72,486,3,3,9,,,,,,,,,,,,,,,66,501
M4/2694B,01/01/2022 00:00:00,18:29:00,73,418,5,5,15,,,,,,,,,,,,,,,67,443
M4/2694B,01/01/2022 00:00:00,18:44:00,74,436,0,4,6,,,,,,,,,,,,,,,66,446
M4/2694B,01/01/2022 00:00:00,18:59:00,75,386,3,3,6,,,,,,,,,,,,,,,66,398
M4/2694B,01/01/2022 00:00:00,19:14:00,76,329,2,2,9,,,,,,,,,,,,,,,66,342
M4/2694B,01/01/2022 00:00:00,19:29:00,77,302,2,3,9,,,,,,,,,,,,,,,65,316
M4/2694B,01/01/2022 00:00:00,19:44:00,78,297,0,9,4,,,,,,,,,,,,,,,66,310
M4/2694B,01/01/2022 00:00:00,19:59:00,79,242,0,3,7,,,,,,,,,,,,,,,68,252
M4/2694B,01/01/2022 00:00:00,20:14:00,80,250,0,3,7,,,,,,,,,,,,,,,65,260
M4/2694B,01/01/2022 00:00:00,20:29:00,81,271,1,4,13,,,,,,,,,,,,,,,65,289
M4/2694B,01/01/2022 00:00:00,20:44:00,82,244,1,0,3,,,,,,,,,,,,,,,65,248
M4/2694B,01/01/2022 00:00:00,20:59:00,83,203,1,2,5,,,,,,,,,,,,,,,66,211
M4/2694B,01/01/2022 00:00:00,21:14:00,84,199,2,0,4,,,,,,,,,,,,,,,67,205
M4/2694B,01/01/2022 00:00:00,21:29:00,85,156,3,4,10,,,,,,,,,,,,,,,69,173
M4/2694B,01/01/2022 00:00:00,21:44:00,86,140,2,0,6,,,,,,,,,,,,,,,66,148
M4/2694B,01/01/2022 00:00:00,21:59:00,87,148,2,1,2,,,,,,,,,,,,,,,63,153
M4/2694B,01/01/2022 00:00:00,22:14:00,88,105,0,0,4,,,,,,,,,,,,,,,63,109
M4/2694B,01/01/2022 00:00:00,22:29:00,89,120,0,1,7,,,,,,,,,,,,,,,63,128
M4/2694B,01/01/2022 00:00:00,22:44:00,90,86,1,0,4,,,,,,,,,,,,,,,63,91
M4/2694B,01/01/2022 00:00:00,22:59:00,91,65,0,1,7,,,,,,,,,,,,,,,63,73
M4/2694B,01/01/2022 00:00:00,23:14:00,92,76,0,1,1,,,,,,,,,,,,,,,63,78
M4/2694B,01/01/2022 00:00:00,23:29:00,93,58,0,0,2,,,,,,,,,,,,,,,62,60
M4/2694B,01/01/2022 00:00:00,23:44:00,94,56,0,0,6,,,,,,,,,,,,,,,62,62
M4/2694B,01/01/2022 00:00:00,23:59:00,95,36,1,0,4,,,,,,,,,,,,,,,62,41
M4/2694B,02/01/2022 00:00:00,00:14:00,0,37,0,1,3,,,,,,,,,,,,,,,63,41
M4/2694B,02/01/2022 00:00:00,00:29:00,1,21,0,1,5,,,,,,,,,,,,,,,62,27
M4/2694B,02/01/2022 00:00:00,00:44:00,2,30,1,1,6,,,,,,,,,,,,,,,62,38
M4/2694B,02/01/2022 00:00:00,00:59:00,3,21,1,0,3,,,,,,,,,,,,,,,62,25
M4/2694B,02/01/2022 00:00:00,01:14:00,4,22,0,0,3,,,,,,,,,,,,,,,63,25
M4/2694B,02/01/2022 00:00:00,01:29:00,5,20,0,3,4,,,,,,,,,,,,,,,63,27
M4/2694B,02/01/2022 00:00:00,01:44:00,6,17,0,0,3,,,,,,,,,,,,,,,62,20
M4/2694B,02/01/2022 00:00:00,01:59:00,7,16,0,2,4,,,,,,,,,,,,,,,62,22
M4/2694B,02/01/2022 00:00:00,02:14:00,8,21,0,0,3,,,,,,,,,,,,,,,62,24
M4/2694B,02/01/2022 00:00:00,02:29:00,9,9,0,0,9,,,,,,,,,,,,,,,61,18
M4/2694B,02/01/2022 00:00:00,02:44:00,10,15,0,0,5,,,,,,,,,,,,,,,62,20
M4/2694B,02/01/2022 00:00:00,02:59:00,11,15,0,0,7,,,,,,,,,,,,,,,65,22
M4/2694B,02/01/2022 00:00:00,03:14:00,12,14,0,1,7,,,,,,,,,,,,,,,66,22
M4/2694B,02/01/2022 00:00:00,03:29:00,13,20,1,5,4,,,,,,,,,,,,,,,63,30
M4/2694B,02/01/2022 00:00:00,03:44:00,14,23,1,3,3,,,,,,,,,,,,,,,62,30
M4/2694B,02/01/2022 00:00:00,03:59:00,15,28,0,0,2,,,,,,,,,,,,,,,64,30
M4/2694B,02/01/2022 00:00:00,04:14:00,16,24,0,2,4,,,,,,,,,,,,,,,62,30
M4/2694B,02/01/2022 00:00:00,04:29:00,17,25,0,1,3,,,,,,,,,,,,,,,62,29
M4/2694B,02/01/2022 00:00:00,04:44:00,18,28,1,1,5,,,,,,,,,,,,,,,63,35
M4/2694B,02/01/2022 00:00:00,04:59:00,19,38,0,1,9,,,,,,,,,,,,,,,62,48
M4/2694B,02/01/2022 00:00:00,05:14:00,20,48,1,5,7,,,,,,,,,,,,,,,61,61
M4/2694B,02/01/2022 00:00:00,05:29:00,21,63,0,2,8,,,,,,,,,,,,,,,60,73
M4/2694B,02/01/2022 00:00:00,05:44:00,22,64,0,3,14,,,,,,,,,,,,,,,58,81
M4/2694B,02/01/2022 00:00:00,05:59:00,23,73,0,1,10,,,,,,,,,,,,,,,59,84
