Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M4/2694A,01/01/2024 00:00:00,00:14:00,0,43,2,2,5,,,,,,,,,,,,,,,64,52
M4/2694A,01/01/2024 00:00:00,00:29:00,1,58,2,0,4,,,,,,,,,,,,,,,66,64
M4/2694A,01/01/2024 00:00:00,00:44:00,2,112,2,2,0,,,,,,,,,,,,,,,66,116
M4/2694A,01/01/2024 00:00:00,00:59:00,3,107,3,2,5,,,,,,,,,,,,,,,68,117
M4/2694A,01/01/2024 00:00:00,01:14:00,4,103,6,2,5,,,,,,,,,,,,,,,67,116
M4/2694A,01/01/2024 00:00:00,01:29:00,5,126,4,4,4,,,,,,,,,,,,,,,66,138
M4/2694A,01/01/2024 00:00:00,01:44:00,6,98,3,4,2,,,,,,,,,,,,,,,67,107
M4/2694A,01/01/2024 00:00:00,01:59:00,7,95,0,1,1,,,,,,,,,,,,,,,67,97
M4/2694A,01/01/2024 00:00:00,02:14:00,8,125,2,2,0,,,,,,,,,,,,,,,69,129
M4/2694A,01/01/2024 00:00:00,02:29:00,9,111,4,1,1,,,,,,,,,,,,,,,68,117
M4/2694A,01/01/2024 00:00:00,02:44:00,10,110,3,1,0,,,,,,,,,,,,,,,67,114
M4/2694A,01/01/2024 00:00:00,02:59:00,11,105,2,4,0,,,,,,,,,,,,,,,68,111
M4/2694A,01/01/2024 00:00:00,03:14:00,12,99,5,1,1,,,,,,,,,,,,,,,67,106
M4/2694A,01/01/2024 00:00:00,03:29:00,13,85,6,4,0,,,,,,,,,,,,,,,67,95
M4/2694A,01/01/2024 00:00:00,03:44:00,14,77,2,2,1,,,,,,,,,,,,,,,65,82
M4/2694A,01/01/2024 00:00:00,03:59:00,15,65,1,1,4,,,,,,,,,,,,,,,65,71
M4/2694A,01/01/2024 00:00:00,04:14:00,16,52,2,1,1,,,,,,,,,,,,,,,68,56
M4/2694A,01/01/2024 00:00:00,04:29:00,17,47,2,4,2,,,,,,,,,,,,,,,67,55
M4/2694A,01/01/2024 00:00:00,04:44:00,18,39,1,3,4,,,,,,,,,,,,,,,67,47
M4/2694A,01/01/2024 00:00:00,04:59:00,19,40,5,2,3,,,,,,,,,,,,,,,68,50
M4/2694A,01/01/2024 00:00:00,05:14:00,20,28,2,1,3,,,,,,,,,,,,,,,67,34
M4/2694A,01/01/2024 00:00:00,05:29:00,21,35,4,0,3,,,,,,,,,,,,,,,68,42
M4/2694A,01/01/2024 00:00:00,05:44:00,22,45,5,3,8,,,,,,,,,,,,,,,65,61
M4/2694A,01/01/2024 00:00:00,05:59:00,23,47,4,1,0,,,,,,,,,,,,,,,65,52
M4/2694A,01/01/2024 00:00:00,06:14:00,24,39,1,6,1,,,,,,,,,,,,,,,65,47
M4/2694A,01/01/2024 00:00:00,06:29:00,25,42,2,5,4,,,,,,,,,,,,,,,67,53
M4/2694A,01/01/2024 00:00:00,06:44:00,26,63,5,6,2,,,,,,,,,,,,,,,67,76
M4/2694A,01/01/2024 00:00:00,06:59:00,27,74,2,6,4,,,,,,,,,,,,,,,64,86
M4/2694A,01/01/2024 00:00:00,07:14:00,28,99,1,4,3,,,,,,,,,,,,,,,65,107
M4/2694A,01/01/2024 00:00:00,07:29:00,29,72,3,3,3,,,,,,,,,,,,,,,63,81
M4/2694A,01/01/2024 00:00:00,07:44:00,30,108,2,4,4,,,,,,,,,,,,,,,64,118
M4/2694A,01/01/2024 00:00:00,07:59:00,31,109,1,6,5,,,,,,,,,,,,,,,64,121
M4/2694A,01/01/2024 00:00:00,08:14:00,32,113,2,3,4,,,,,,,,,,,,,,,65,122
M4/2694A,01/01/2024 00:00:00,08:29:00,33,136,3,6,4,,,,,,,,,,,,,,,65,149
M4/2694A,01/01/2024 00:00:00,08:44:00,34,177,6,2,3,,,,,,,,,,,,,,,66,188
M4/2694A,01/01/2024 00:00:00,08:59:00,35,154,5,3,5,,,,,,,,,,,,,,,66,167
M4/2694A,01/01/2024 00:00:00,09:14:00,36,187,11,3,3,,,,,,,,,,,,,,,66,204
M4/2694A,01/01/2024 00:00:00,09:29:00,37,213,11,6,9,,,,,,,,,,,,,,,68,239
M4/2694A,01/01/2024 00:00:00,09:44:00,38,253,10,5,8,,,,,,,,,,,,,,,68,276
M4/2694A,01/01/2024 00:00:00,09:59:00,39,287,15,6,15,,,,,,,,,,,,,,,68,323
M4/2694A,01/01/2024 00:00:00,10:14:00,40,348,15,14,13,,,,,,,,,,,,,,,69,390
M4/2694A,01/01/2024 00:00:00,10:29:00,41,422,9,8,13,,,,,,,,,,,,,,,69,452
M4/2694A,01/01/2024 00:00:00,10:44:00,42,460,12,9,11,,,,,,,,,,,,,,,69,492
M4/2694A,01/01/2024 00:00:00,10:59:00,43,448,15,9,9,,,,,,,,,,,,,,,69,481
M4/2694A,01/01/2024 00:00:00,11:14:00,44,555,20,7,10,,,,,,,,,,,,,,,70,592
M4/2694A,01/01/2024 00:00:00,11:29:00,45,622,16,10,6,,,,,,,,,,,,,,,69,654
M4/2694A,01/01/2024 00:00:00,11:44:00,46,650,22,12,6,,,,,,,,,,,,,,,71,690
M4/2694A,01/01/2024 00:00:00,11:59:00,47,676,18,16,9,,,,,,,,,,,,,,,72,719
M4/2694A,01/01/2024 00:00:00,12:14:00,48,701,32,12,19,,,,,,,,,,,,,,,71,764
M4/2694A,01/01/2024 00:00:00,12:29:00,49,660,37,21,9,,,,,,,,,,,,,,,69,727
M4/2694A,01/01/2024 00:00:00,12:44:00,50,728,29,25,14,,,,,,,,,,,,,,,70,796
M4/2694A,01/01/2024 00:00:00,12:59:00,51,720,22,14,15,,,,,,,,,,,,,,,72,771
M4/2694A,01/01/2024 00:00:00,13:14:00,52,760,30,14,8,,,,,,,,,,,,,,,72,812
M4/2694A,01/01/2024 00:00:00,13:29:00,53,710,23,13,9,,,,,,,,,,,,,,,71,755
M4/2694A,01/01/2024 00:00:00,13:44:00,54,730,24,16,12,,,,,,,,,,,,,,,71,782
M4/2694A,01/01/2024 00:00:00,13:59:00,55,744,23,20,14,,,,,,,,,,,,,,,71,801
M4/2694A,01/01/2024 00:00:00,14:14:00,56,702,18,14,20,,,,,,,,,,,,,,,71,754
M4/2694A,01/01/2024 00:00:00,14:29:00,57,768,26,17,5,,,,,,,,,,,,,,,72,816
M4/2694A,01/01/2024 00:00:00,14:44:00,58,752,18,20,12,,,,,,,,,,,,,,,72,802
M4/2694A,01/01/2024 00:00:00,14:59:00,59,659,23,14,10,,,,,,,,,,,,,,,71,706
M4/2694A,01/01/2024 00:00:00,15:14:00,60,689,23,13,10,,,,,,,,,,,,,,,71,735
M4/2694A,01/01/2024 00:00:00,15:29:00,61,742,18,11,8,,,,,,,,,,,,,,,71,779
M4/2694A,01/01/2024 00:00:00,15:44:00,62,725,16,13,19,,,,,,,,,,,,,,,70,773
M4/2694A,01/01/2024 00:00:00,15:59:00,63,688,18,21,7,,,,,,,,,,,,,,,69,734
M4/2694A,01/01/2024 00:00:00,16:14:00,64,627,16,22,7,,,,,,,,,,,,,,,69,672
M4/2694A,01/01/2024 00:00:00,16:29:00,65,566,25,20,9,,,,,,,,,,,,,,,69,620
M4/2694A,01/01/2024 00:00:00,16:44:00,66,633,22,17,11,,,,,,,,,,,,,,,70,683
M4/2694A,01/01/2024 00:00:00,16:59:00,67,625,25,21,16,,,,,,,,,,,,,,,71,687
M4/2694A,01/01/2024 00:00:00,17:14:00,68,585,35,19,11,,,,,,,,,,,,,,,72,650
M4/2694A,01/01/2024 00:00:00,17:29:00,69,697,24,23,18,,,,,,,,,,,,,,,72,762
M4/2694A,01/01/2024 00:00:00,17:44:00,70,710,36,25,11,,,,,,,,,,,,,,,72,782
M4/2694A,01/01/2024 00:00:00,17:59:00,71,713,31,34,14,,,,,,,,,,,,,,,73,792
M4/2694A,01/01/2024 00:00:00,18:14:00,72,585,23,20,8,,,,,,,,,,,,,,,72,636
M4/2694A,01/01/2024 00:00:00,18:29:00,73,522,31,12,15,,,,,,,,,,,,,,,72,580
M4/2694A,01/01/2024 00:00:00,18:44:00,74,444,20,26,27,,,,,,,,,,,,,,,75,517
M4/2694A,01/01/2024 00:00:00,18:59:00,75,389,19,9,14,,,,,,,,,,,,,,,72,431
M4/2694A,01/01/2024 00:00:00,19:14:00,76,402,13,18,12,,,,,,,,,,,,,,,71,445
M4/2694A,01/01/2024 00:00:00,19:29:00,77,372,21,16,12,,,,,,,,,,,,,,,73,421
M4/2694A,01/01/2024 00:00:00,19:44:00,78,338,12,10,11,,,,,,,,,,,,,,,72,371
M4/2694A,01/01/2024 00:00:00,19:59:00,79,334,18,11,11,,,,,,,,,,,,,,,70,374
M4/2694A,01/01/2024 00:00:00,20:14:00,80,293,21,18,13,,,,,,,,,,,,,,,74,345
M4/2694A,01/01/2024 00:00:00,20:29:00,81,267,15,15,10,,,,,,,,,,,,,,,71,307
